,title,type,year,age,runtime,genres,production_countries,imdb_score,imdb_votes
0,Five Came Back: The Reference Films,Show,1945,TV-MA,48,documentation,US,,0
1,Taxi Driver,Movie,1976,R,113,"crime, drama",US,8.3,795222
2,Monty Python and the Holy Grail,Movie,1975,PG,91,"comedy, fantasy",GB,8.2,530877
3,Life of Brian,Movie,1979,R,94,comedy,GB,8.0,392419
4,The Exorcist,Movie,1973,R,133,horror,US,8.1,391942
5,Monty Python's Flying Circus,Show,1969,TV-14,30,"comedy, european",GB,8.8,72895
6,Dirty Harry,Movie,1971,R,102,"thriller, crime, action",US,7.7,153463
7,My Fair Lady,Movie,1964,G,170,"drama, music, romance, family",US,7.8,94121
8,The Blue Lagoon,Movie,1980,R,104,"romance, drama",US,5.8,69053
9,Bonnie and Clyde,Movie,1967,R,110,"drama, crime, action",US,7.7,111189
10,The Professionals,Movie,1966,PG-13,117,"western, action, european",US,7.3,16168
11,The Guns of Navarone,Movie,1961,No Rating,158,"war, action, drama","US, GB",7.5,50150
12,Lupin the Third: The Castle of Cagliostro,Movie,1979,PG,100,"comedy, animation, action, fantasy, family",JP,7.6,30277
13,Richard Pryor: Live in Concert,Movie,1979,R,78,"comedy, documentation",US,8.1,5141
14,The Long Riders,Movie,1980,R,99,"western, crime",US,6.9,11329
15,White Christmas,Movie,1954,No Rating,115,"romance, comedy, music",US,7.5,42373
16,Cairo Station,Movie,1958,No Rating,77,"drama, crime, comedy",EG,7.5,4385
17,The Queen,Movie,1968,No Rating,68,documentation,US,7.2,1117
18,Hitler: A Career,Movie,1977,PG,150,"documentation, history, european",DE,7.5,2416
19,FTA,Movie,1972,R,97,"comedy, documentation, music",US,6.2,411
20,Saladin the Victorious,Movie,1963,No Rating,186,"drama, war, action, history, romance",EG,7.6,2470
21,Singapore,Movie,1960,No Rating,158,"drama, thriller, crime",IN,6.4,82
22,Dark Waters,Movie,1956,No Rating,120,"drama, action, romance, thriller",EG,6.7,590
23,Alexandria… Why?,Movie,1979,No Rating,133,drama,EG,7.2,1689
24,Raya and Sakina,Movie,1953,No Rating,105,"drama, thriller, crime, history",EG,6.8,231
25,No Longer Kids,Movie,1979,No Rating,235,"comedy, drama",EG,9.0,943
26,Amrapali,Movie,1966,No Rating,120,fantasy,IN,6.7,225
27,Dostana,Movie,1980,No Rating,161,"drama, comedy, romance, action, crime",IN,2.1,25
28,The Blazing Sun,Movie,1954,No Rating,100,"romance, crime, drama",EG,7.4,1219
29,Monty Python's Fliegender Zirkus,Show,1972,TV-MA,43,comedy,,8.1,2144
30,The Return of the Prodigal Son,Movie,1976,No Rating,124,"drama, crime","DZ, EG",7.2,768
31,Prince,Movie,1969,No Rating,152,romance,IN,6.9,168
32,Lock Your Girls In,Movie,1980,No Rating,230,comedy,EG,,0
33,The Witness Who Didn't See Anything,Movie,1976,No Rating,217,comedy,EG,,0
34,The School of Mischief,Movie,1973,No Rating,251,comedy,EG,,0
35,Manoranjan,Movie,1974,No Rating,162,"comedy, drama, romance",IN,6.5,236
36,"Beirut, Oh Beirut",Movie,1975,No Rating,110,drama,LB,6.5,106
37,We Are All for the Fatherland,Movie,1979,No Rating,74,documentation,"FR, LB, CA",6.2,43
38,Whispers,Movie,1980,No Rating,93,documentation,"FR, LB, CA",7.8,75
39,Lal Patthar,Movie,1971,No Rating,153,drama,IN,6.2,137
40,Ujala,Movie,1959,No Rating,142,"romance, crime, drama",IN,6.7,78
41,Alibaba Aur 40 Chor,Movie,1979,No Rating,138,"drama, action, romance, family, fantasy","IN, SU",6.2,555
42,Professor,Movie,1962,No Rating,163,"romance, comedy, drama",IN,6.8,285
43,Chadi Jawani Budhe Nu,Movie,1976,No Rating,135,romance,IN,4.6,14
44,Bandie,Movie,1978,No Rating,141,"drama, romance, action",IN,4.2,35
45,Khoon Khoon,Movie,1973,No Rating,131,"drama, crime, thriller",IN,5.1,41
46,Top Gun,Movie,1986,PG,110,"drama, action",US,6.9,329656
47,Seinfeld,Show,1989,TV-PG,24,comedy,US,8.9,302700
48,Stand by Me,Movie,1986,R,89,drama,US,8.1,392790
49,Once Upon a Time in America,Movie,1984,R,229,"drama, crime, european","US, IT",8.3,342335
50,When Harry Met Sally...,Movie,1989,R,96,"romance, comedy, drama",US,7.7,212913
51,Teenage Mutant Ninja Turtles,Movie,1990,PG,93,"scifi, action, comedy, family","HK, US",6.7,92647
52,Full Metal Jacket,Movie,1987,R,116,"drama, war","GB, US",8.3,723306
53,Christine,Movie,1983,R,90,"horror, thriller, european",US,6.7,80945
54,A Nightmare on Elm Street,Movie,1984,R,91,horror,US,7.4,230543
55,Knight Rider,Show,1982,TV-PG,51,"action, scifi, crime, drama",US,6.9,33760
56,Awakenings,Movie,1990,PG-13,120,"drama, european",US,7.8,137549
57,Thomas & Friends,Show,1984,TV-Y,10,"family, comedy, music, action, animation, fantasy, drama",GB,6.5,4948
58,Annie,Movie,1982,PG,127,"drama, family, comedy",US,6.6,44866
59,Pet Sematary,Movie,1989,R,103,"horror, fantasy, thriller",US,6.5,102212
60,Saved by the Bell,Show,1989,TV-G,23,"comedy, romance, family",US,7.1,34854
61,She's Gotta Have It,Movie,1986,R,84,"comedy, romance",US,6.7,14277
62,Eddie Murphy Raw,Movie,1987,R,93,"comedy, documentation",US,7.6,19646
63,Endless Love,Movie,1981,R,116,"drama, romance",US,4.9,8374
64,Wheel of Fortune,Show,1983,TV-G,26,family,US,6.7,3126
